controllerFamily,Object Name,Action,ToolTip/Name,Value,Value1
Common,SetParameters_Icon,Click_Button,,,
Common,SetParameter Window,CheckExistenceOfObject,,,
Common,SetParameter  Close Button,Click_Button,,,
Common,KoolProg Window,CheckExistenceOfObject,,,
Common,SetParameter Window,CheckAbsenceofObject,,,
Common,SetParameters_Icon,Click_Button,,,
Common,SetParameter Window,CheckExistenceOfObject,,,
Common,Create_New_Project,Click_Button,,,
Common,New Project Window,CheckExistenceOfObject,,,
Common,New Project Close Button,Click_Button,,,
Common,KoolProg Window,CheckExistenceOfObject,,,
Common,New Project Window,CheckAbsenceofObject,,,
Common,SetParameters_Icon,Click_Button,,,
Common,SetParameter Window,CheckExistenceOfObject,,,
Common,Create_New_Project,Click_Button,,,
Common,New Project Window,CheckExistenceOfObject,,,
Common,NewProject_Tabfolder,Select_Controller,,Dynamic_controllerFamily,Dynamic_controllerVariant
Common,New Project Close Button,Click_Button,,,
Common,KoolProg Window,CheckExistenceOfObject,,,
Common,Create_New_Project,CheckAbsenceofObject,,,
Common,SetParameters_Icon,Click_Button,,,
Common,SetParameter Window,CheckExistenceOfObject,,,
Common,Create_New_Project,Click_Button,,,
Common,New Project Window,CheckExistenceOfObject,,,
Common,NewProject_Tabfolder,Select_Controller,,Dynamic_controllerFamily,Dynamic_controllerVariant
Common,NEXT_Button,Click_Button,,,
Common,New Project Close Button,Click_Button,,,
Common,KoolProg Window,CheckExistenceOfObject,,,
Common,Create_New_Project,CheckAbsenceofObject,,,
Common,SetParameters_Icon,Click_Button,,,
Common,SetParameter Window,CheckExistenceOfObject,,,
Common,Create_New_Project,Click_Button,,,
Common,New Project Window,CheckExistenceOfObject,,,
Common,NewProject_Tabfolder,Select_Controller,,Dynamic_controllerFamily,Dynamic_controllerVariant
Common,NEXT_Button,Click_Button,,,
Common,New Project Cancel Button,Click_Button,,,
Common,KoolProg Window,CheckExistenceOfObject,,,
Common,Create_New_Project,CheckAbsenceofObject,,,
