Module Name,Controller Name,Operations,Symbolic Name,producrvalidate
actionModuleNewProject,ERC11x,"ComboBox_Edit
ComboBox_Edit
Text_Box","Create_New_CodeNumberCB
NewProject_PVComboBox
Create_New_ProjectName_edit",
actionModuleNewProject,EET,"ComboBox_Edit
ComboBox_Edit
Text_Box","Create_New_CodeNumberCB
NewProject_PVComboBox
Create_New_ProjectName_edit",
actionModuleNewProject,ERC21x,"ComboBox_Edit
ComboBox_Edit
Text_Box","Create_New_CodeNumberCB
NewProject_PVComboBox
Create_New_ProjectName_edit",
actionModuleNewProject,ETC1Hx,"ComboBox_Edit
Text_Box","Create_New_CodeNumberCB
NewProject_PVComboBox
Create_New_ProjectName_edit",
actionModuleNewProject,EKE1x,"ComboBox_Edit
ComboBox_Edit
Text_Box","Create_New_CodeNumberCB
NewProject_PVComboBox
Create_New_ProjectName_edit",
actionModuleNewProject,AK-CC55,"ComboBox_Edit
ComboBox_Edit
Text_Box","Create_New_CodeNumberCB
NewProject_PVComboBox
Create_New_ProjectName_edit",
